热词,PC1,PC2
"英雄,成龙,感谢,高先生,昆仑,万丈,好人,一生,平安,天生我材必有用,致敬,孩子,见义勇为,巨人,身高,德高,的人,善良,救援,大义,高大,安平,消防队,三尺,救人一命,意义,奖金,必有用,点赞,荣誉证书",2403918.3642862923,-47753.38090337093
"教练,考驾照,学车,驾校,广西,驾照,练车,许光汉,好帅,教我,报名,老头,宕机,调皮,九转,大肠,巧克力,帅的,我去,感觉,OK,喜欢,重考,想谈,帅哥,在哪,完了,情绪稳定,能不能,发呆",2537812.1167979334,249895.80908653655
"卢卡,好可爱,OK,宕机,笑死我了,宝宝,老师,九转,大肠,被电,好萌,孩子,评论区,囚徒,大王,电击小子,触电,眼含,热泪,猪头,银球,隐囚,ky,调皮,教程,达西,让我,的狗,好像,AAA",-997801.9996560988,280639.34050344594
"电影,烈士陵园,看了,刷到,连长,蒙生,倪大红,中国,看过,四爷,董卓,好电影,诸葛亮,花环,开来,哭了,雷军,的人,看一遍,都会,眼睛,高山,人民,司马懿,贵妇人,战争,儿子,眼泪,百看不厌,英雄",7000825.088908584,-74191.28836083546
"陀螺,发呆,好帅,特效,宕机,动画片,异火,心火,青莲,火焰,卧槽,飓风战魂,琉璃,莲心,我去,牛逼,是真的,红色,OK,想玩,九转,大肠,好玩,太帅了,燃起来了,萧炎,领域展开,好看,火力少年王,男人",10633287.186780091,169561.07235703396
"冰箱,我家,吊带,思念,全是,宝宝,呼吸,链接,都是,生命,剩菜,感觉,也有,好看,有你,好像,赵露思,拍的,姐姐,调皮,OK,老婆,宕机,九转,大肠,给你,只能,不行,给我,适合",-1726122.7255199184,71813.2848543847
"发呆,宕机,牛逼,警车,八字,头盔,OK,哥们,九转,大肠,我去,全体起立,自行车,惊恐,卧槽,祖宗,警察,疑问,nb,路人,钻过去,逆天,暗中观察,摆头,电影,重要性,摩托车,我靠,阎王,撤回",3860255.2970335735,267526.88839093945
,1477940.434328095,58355.86642231792
"好帅,小新,蜡笔小新,宕机,OK,我去,表哥,发呆,人物,这是,堂哥,帅哥,帅的,没见过,感觉,看过,猪头,喜欢,真的帅,风间,真帅,画风,看了,不知道,调皮,九转,大肠,记得,帅啊,印象",-2059716.5424104596,92029.84590870628
"吵架,猫条,白猫,化妆,笑死我了,橘猫,大橘,大白,笑死了,小白,假装,九转,大肠,pk,笑死,好可爱,宕机,打架,三花,没眼看,演戏,两只猫,猫猫,PK,圈点,吃的,主播,绝育,博主,有没有",3611738.102070422,171772.50066498565
"武汉,晚霞,火烧云,好看,拍的,拍到,好美,好好看,错过了,意味着,学校,发呆,不出门,也有,行千里,宝宝,上岸,天空,OK,没看见,感谢,宕机,赶上,朝霞,调皮,苏醒,我去,暴雨,下雨,这是",2783532.462340313,85582.12450445375
"爱自己,被爱,幸福,的人,喜欢,事与愿违,安排,感觉,发生,有利于,恋爱,爱情,男人,女性,接受,不想,谈恋爱,便是,爱你,人生,都是,希求,遇见,爱我,一个人,一生,感情,最重要,主持,爱人",3341002.167699854,218436.2914933271
"历史,宕机,毕业了,历史书,学历史,OK,朝代,毕业,九转,大肠,山海经,挖到,没毕业,还好,唐尧虞舜,老祖宗,中国,挖出来,证明,盘古,考古,挖出,学生,文字,有福,近代史,文明,能不能,专业,神话",3155053.1025288226,83997.562151002
"请假,理由,好好活着,抱抱,早日康复,活着,宝宝,好朋友,出院,休息,我可以,自有妙计,用不着,你别,康复,健康,我有,好好的,给我,希望,辞职,朋友,你好,健健康康,上班,旷工,不准,办法,没事,老板",1084498.542282911,31116.941999267365
"想玩,好玩,爱看,好看,好好玩,减速带,扭扭车,感觉,比赛,尾流,闷闷,宕机,看着,破风,发呆,脚刹,九转,大肠,老哥,硬控,下坡,刹车,男人,秋秋,OK,刷到,这是,有意思,男生,是真的",6255647.848050025,-34959.397183675275
"球拍,嫁妆,姐姐,拍子,见过,喜欢,入赘,OK,老婆,发呆,女孩,宕机,彩礼,能不能,结婚,性别,不谈,漂亮的,最美,宝宝,羽毛球,想要,给我,抛开,女人,川崎,可以吗,拿下,调皮,这是",-1181334.0773230633,96006.00904872527
"不想,羡慕,没事,嫉妒,光头,我去,很想,上海,发出,跳楼,音乐会,OK,包听,逞强,落泪,老公,啊啊啊啊,听话,声音,眼含,热泪,宕机,九转,大肠,听到,哭了,没去,发呆,好啊,感觉",1217198.7105639996,282522.68730415293
"OK,佛祖,笑死我了,佛说,正片,宕机,看到最后,功德,广告,ing,还好,九转,大肠,女朋友,发呆,用户,讨厌,不行,生性,多疑,分享,笑死了,大王,好友,视频,喜欢,艾特,转发给,小猫,爱吃",3422688.82927299,343560.6352741392
"睡不着,大肠,九转,宕机,OK,天亮了,睡觉,起床,刷抖音,收拾,小时,海底捞,吃了,爬起来,上班,发现,房间,睡不着了,调皮,抖音,大行,躺平,打王者,暗中观察,不想,老实,睡了,衣服,睡着了,出门",633085.6692040451,137042.55350773284
"兄弟,承认,眉笔,努力,厉害,好人,完澡,的人,哥们,小子,感谢,彭于晏,看不得,善良,一生,平安,希望,吴彦祖,男人,能力,人间疾苦,你点赞,过得,给你,云南,点赞,还帅,我帅,最帅,力所能及",11880849.353145562,116545.3023396731
"笑死我了,那英,帮人,未遂,OK,笑死了,危言耸听,宕机,珊珊,英子,九转,大肠,表情,一句,我笑死,我以为,娜姐,给他,不吃,小女孩,小孩,感觉,电视剧,逆天,表情包,笑点,看着,有点像,大粪,认出来",2489360.6301109176,-11415.784927739216
"宝宝,吱声,秒回,评论,点赞,更好,活跃,猪头,新号,包回,抱抱,好美,秒赞,巨快,评论区,会回,账号,爱心,好看,调皮,听说,喜欢,OK,很闲,太美了,头像,新发,求求了,作品,美女",-2556655.457805255,167094.3340009224
"广工,喜欢,看了,爱看,震感,抖音,青春,广东,暗中观察,女孩子,发呆,学校,女生,灵机一动,观看,好看,这是,大眼睛,跑步,眼睛,活泼,活力,九转,大肠,表达,网友,大学,确实,艾特,不白看",2726694.007056147,160556.19862096367
"动静,喜欢,声音,发呆,OK,吓我一跳,宕机,宝宝,九转,大肠,手机,什么动静,爱看,giao,这是,我以为,你老婆,老艾,让我,迷成,爽了,好听,好看,爱心,土豆,在干嘛,智障,听到,好可爱,我家",-397700.3923906386,219376.93428546583
"打架,抱摔,宕机,常威,九转,大肠,狗子,来福,拖鞋,打不过,笑死我了,打的,耶耶,打起来了,暗中观察,男朋友,萨摩耶,监控,摔跤,有来有回,发呆,狗狗,笑死了,玩不起,老实,不讲武德,我家,小狗,打起来,好可爱",4065515.341233761,123135.53609787728
"河南,感觉,过年,过年了,想家,回家,好像,老家,想回家,长大,怀念,安徽,孩子,胡辣汤,河南人,熟悉,回老家,想回,季节,回去,山东,喜欢,不到,这是,看着,回家过年,好喜欢,地方,哭了,味道",7967838.86453905,323820.5365170886
"四爷,蒙生,镀金,花环,唐国强,尿性,高山,诸葛亮,真金,电影,下的,司马懿,倪大红,丢份,老师,精神,战场,卸甲,纯金,手榴弹,母亲,英雄,打到,队友,当兵,父亲,回家,压力,OK,连长",3395337.054001526,243898.2595902581
