热词,PC1,PC2
"宝宝,吱声,秒回,评论,点赞,更好,活跃,猪头,新号,包回,抱抱,好美,秒赞,巨快,评论区,会回,账号,爱心,好看,调皮,听说,喜欢,OK,很闲,太美了,头像,新发,求求了,作品,美女",-1815995.135167397,190761.658107466
"广工,喜欢,看了,爱看,震感,抖音,青春,广东,暗中观察,女孩子,发呆,学校,女生,灵机一动,观看,好看,这是,大眼睛,跑步,眼睛,活泼,活力,九转,大肠,表达,网友,大学,确实,艾特,不白看",3467343.9840753404,182195.37329835747
"动静,喜欢,声音,发呆,OK,吓我一跳,宕机,宝宝,九转,大肠,手机,什么动静,爱看,giao,这是,我以为,你老婆,老艾,让我,迷成,爽了,好听,好看,爱心,土豆,在干嘛,智障,听到,好可爱,我家",342699.4729796145,238018.35566505324
"打架,抱摔,宕机,常威,九转,大肠,狗子,来福,拖鞋,打不过,笑死我了,打的,耶耶,打起来了,暗中观察,男朋友,萨摩耶,监控,摔跤,有来有回,发呆,狗狗,笑死了,玩不起,老实,不讲武德,我家,小狗,打起来,好可爱",4806320.129944174,161628.46283808205
"马赫,奥特曼,拼音,速度,中国,嫦娥,文物,大英博物馆,导弹,奥特之王,日本,归还,change,月球,国家,回来,真有,东西,中文,OK,三十而立,打击,命名,回收,九转,大肠,概念,真的有,宕机,汉字",3488768.1466436572,-4098.6850471561265
"好漂亮,蒋依依,好美,明星,漂亮,长大,佟丽娅,感觉,姑娘,有气质,好像,真好看,好看,裤子,女孩子,好美啊,小女孩,美女,链接,长得,猪头,好好看,有点像,气质,女儿,衣服,羡慕,宕机,小孩,有链接",3218545.043391888,16303.03654773991
"抽象,想闻,OK,咋了,胳肢窝,嘎吱,评论区,文案,照片,调皮,身材,感觉,宕机,九转,大肠,搞笑女,朋友圈,笑死我了,喜欢,屌丝,不好,性感,不想,猪头,好看,发呆,不处,长得,拉屎,学会了",1163292.5000491124,144128.89316054794
"叔叔,大冰,郭展,两小时,睡眠,神来,不来,自我介绍,忘词,说的就是,心路历程,零零星星,点到,生活,变帅,睡了,看过,挺逗,太棒,好看,公主,别买,小龙哥,宁酱,熊本熊,QIKI,可乐,河北,文旅,软广",-2636143.1799064963,62868.067677344174
"喜欢,卷毛,老公,帅哥,宝宝,好帅,调皮,思念,生命,也有,呼吸,猪头,我喜欢,我去,OK,好喜欢,有你,发呆,爆灯,好看,刷到,不处,迷糊,想谈,我老公,爱心,感觉,讨厌,香菜,给你",-2504080.5456984723,253233.49289499334
"时间,想起,难过,创可贴,幸福,的人,伤害,回忆,感觉,伤口,分手,事情,发现,都会,情绪,哭了,创口贴,不想,记得,宝宝,忘记,喜欢,一个人,抱抱,幸福的,伤疤,文案,记忆,好像,痛苦",-2768468.619495128,58624.83652386684
